00:22:42:444831,A,82fe8f48,63,2013-08-06 17:26:31,2013-08-06 17:27:34,533,40.75299641,-73.98721619,533,40.75299641,-73.98721619,20366,Subscriber,1960,1,13
00:25:50:982208,A,413a79cb,61,2013-08-07 12:27:41,2013-08-07 12:28:42,280,40.73331967,-73.99510132,280,40.73331967,-73.99510132,18713,Subscriber,1954,2,36
00:26:10:695063,A,667d1a91,65,2013-08-07 14:27:00,2013-08-07 14:28:05,401,40.72019576,-73.98997825,401,40.72019576,-73.98997825,18884,Subscriber,1961,1,45
00:27:33:756693,A,a9b1e67e,66,2013-08-07 22:49:45,2013-08-07 22:50:51,127,40.73172428,-74.00674436,127,40.73172428,-74.00674436,18745,Subscriber,1957,1,19
00:29:32:934234,A,46e2d13d,69,2013-08-08 10:51:06,2013-08-08 10:52:15,355,40.71602118,-73.99974372,355,40.71602118,-73.99974372,18646,Subscriber,1953,1,62
00:29:43:356520,A,1c07a935,67,2013-08-08 11:54:11,2013-08-08 11:55:18,237,40.73047309,-73.98672378,237,40.73047309,-73.98672378,19543,Subscriber,1953,1,38
00:30:17:407246,A,73fd8f03,62,2013-08-08 15:20:17,2013-08-08 15:21:19,528,40.74290902,-73.97706058,528,40.74290902,-73.97706058,15242,Subscriber,1958,1,17
00:30:37:560672,A,d4091b3e,67,2013-08-08 17:22:16,2013-08-08 17:23:23,276,40.71748752,-74.0104554,146,40.71625008,-74.0091059,14733,Subscriber,1947,1,57
00:30:55:178056,A,22377bc1,60,2013-08-08 19:08:54,2013-08-08 19:09:54,403,40.72502876,-73.99069656,403,40.72502876,-73.99069656,17760,Subscriber,1953,1,5
00:33:34:108978,A,bbb07a0a,69,2013-08-09 11:10:52,2013-08-09 11:12:01,510,40.7606597,-73.98042047,510,40.7606597,-73.98042047,14916,Subscriber,1961,1,31
00:34:15:875228,A,12b55074,63,2013-08-09 15:23:40,2013-08-09 15:24:43,323,40.69236178,-73.98631746,323,40.69236178,-73.98631746,15683,Subscriber,1961,1,54
00:34:33:214496,A,e4579e87,69,2013-08-09 17:08:37,2013-08-09 17:09:46,386,40.71494807,-74.00234482,386,40.71494807,-74.00234482,19741,Subscriber,1951,1,27
00:34:49:898416,A,d6e5ba2d,63,2013-08-09 18:49:36,2013-08-09 18:50:39,382,40.73492695,-73.99200509,382,40.73492695,-73.99200509,20119,Subscriber,1956,1,27
00:35:15:900439,A,6fd7bda6,64,2013-08-09 21:26:59,2013-08-09 21:28:03,531,40.71893904,-73.99266288,531,40.71893904,-73.99266288,19147,Subscriber,1958,1,68
00:37:35:256188,A,44d5d72d,62,2013-08-10 11:30:28,2013-08-10 11:31:30,305,40.76095756,-73.96724467,305,40.76095756,-73.96724467,15977,Subscriber,1952,2,64
00:38:03:334407,A,59e83984,61,2013-08-10 14:20:25,2013-08-10 14:21:26,323,40.69236178,-73.98631746,323,40.69236178,-73.98631746,16203,Subscriber,1961,1,56
00:38:27:926597,A,2640435b,69,2013-08-10 16:49:16,2013-08-10 16:50:25,304,40.70463334,-74.01361706,304,40.70463334,-74.01361706,19973,Subscriber,1958,2,57
00:38:47:347573,A,8d96751c,63,2013-08-10 18:46:49,2013-08-10 18:47:52,293,40.73028666,-73.9907647,293,40.73028666,-73.9907647,17387,Subscriber,1957,2,70
00:38:49:836807,A,911012cd,60,2013-08-10 19:01:53,2013-08-10 19:02:53,511,40.72938685,-73.97772429,511,40.72938685,-73.97772429,18782,Subscriber,1950,1,87
00:40:52:478347,A,c2397976,66,2013-08-11 07:24:12,2013-08-11 07:25:18,160,40.748238,-73.978311,160,40.748238,-73.978311,16559,Subscriber,1951,1,76
00:42:25:615316,A,23b5339c,62,2013-08-11 16:47:56,2013-08-11 16:48:58,540,40.74147286,-73.98320928,540,40.74147286,-73.98320928,16661,Subscriber,1955,1,118
00:46:25:077333,A,b19f5253,63,2013-08-12 16:57:20,2013-08-12 16:58:23,382,40.73492695,-73.99200509,382,40.73492695,-73.99200509,17775,Subscriber,1959,1,71
00:50:16:845861,A,652d5f7f,61,2013-08-13 16:20:10,2013-08-13 16:21:11,253,40.73543934,-73.99453948,253,40.73543934,-73.99453948,16602,Subscriber,1953,1,38
00:52:59:279335,A,bcb589bb,67,2013-08-14 08:43:20,2013-08-14 08:44:27,468,40.7652654,-73.98192338,469,40.76344058,-73.98268129,15509,Subscriber,1956,1,107
00:53:27:866965,A,60c6ddef,65,2013-08-14 11:36:22,2013-08-14 11:37:27,519,40.75188406,-73.97770164,519,40.75188406,-73.97770164,17210,Subscriber,1956,2,53
00:53:45:850574,A,6abb8ae2,62,2013-08-14 13:25:13,2013-08-14 13:26:15,318,40.75320159,-73.9779874,459,40.746745,-74.007756,16003,Subscriber,1954,1,79
00:54:02:881444,A,2bcf9c91,68,2013-08-14 15:08:18,2013-08-14 15:09:26,195,40.70905623,-74.01043382,195,40.70905623,-74.01043382,18789,Subscriber,1950,2,102
00:54:49:805141,A,043bd846,67,2013-08-14 19:52:19,2013-08-14 19:53:26,232,40.69597683,-73.99014892,232,40.69597683,-73.99014892,19344,Subscriber,1951,1,121
00:54:58:200795,A,be470611,61,2013-08-14 20:43:08,2013-08-14 20:44:09,401,40.72019576,-73.98997825,401,40.72019576,-73.98997825,16965,Subscriber,1952,2,92
00:57:45:956932,A,77f520fb,63,2013-08-15 13:38:31,2013-08-15 13:39:34,360,40.70717936,-74.00887308,360,40.70717936,-74.00887308,17160,Subscriber,1953,2,102
00:58:12:793286,A,1ae50816,63,2013-08-15 16:20:57,2013-08-15 16:22:00,545,40.736502,-73.97809472,545,40.736502,-73.97809472,20152,Subscriber,1959,1,143
00:58:49:088175,A,f72a06ca,68,2013-08-15 20:00:38,2013-08-15 20:01:46,390,40.69221589,-73.9842844,323,40.69236178,-73.98631746,14791,Subscriber,1958,1,114
01:01:39:881510,A,e7217ebd,61,2013-08-16 13:14:24,2013-08-16 13:15:25,459,40.746745,-74.007756,459,40.746745,-74.007756,14889,Subscriber,1959,1,119
01:03:06:164825,A,12df55f7,66,2013-08-16 21:56:39,2013-08-16 21:57:45,79,40.71911552,-74.00666661,79,40.71911552,-74.00666661,16810,Subscriber,1960,2,113
01:03:12:999201,A,43855a38,61,2013-08-16 22:38:01,2013-08-16 22:39:02,528,40.74290902,-73.97706058,528,40.74290902,-73.97706058,17900,Subscriber,1955,1,60
01:03:41:413359,A,3b15a26a,62,2013-08-17 01:30:00,2013-08-17 01:31:02,276,40.71748752,-74.0104554,276,40.71748752,-74.0104554,18669,Subscriber,1960,2,124
01:05:28:940516,A,56e0350c,66,2013-08-17 12:20:50,2013-08-17 12:21:56,367,40.75828065,-73.97069431,229,40.72743423,-73.99379025,17628,Subscriber,1949,1,87
01:06:01:080262,A,ef007cab,66,2013-08-17 15:35:22,2013-08-17 15:36:28,327,40.7153379,-74.01658354,327,40.7153379,-74.01658354,15842,Subscriber,1961,2,98
